date,journeys
2013-01-01,1411718
2013-02-01,1587524
2013-03-01,2006900
2013-04-01,2214723
2013-05-01,2557662
2013-06-01,2697186
2013-07-01,2257770
2013-08-01,2961241
2013-09-01,3140993
2013-10-01,3431577
2013-11-01,3673689
2013-12-01,3573774
2014-01-01,4013154
2014-02-01,3605237
2014-03-01,4110844
2014-04-01,3852513
2014-05-01,4242675
2014-06-01,4010209
2014-07-01,3329602
2014-08-01,4290152
2014-09-01,4513820
2014-10-01,4788271
2014-11-01,4885084
2014-12-01,4975916
2015-01-01,5135452
2015-02-01,5194913
2015-03-01,6298952
2015-04-01,6316559
2015-05-01,6819250
2015-06-01,7220276
2015-07-01,6314497
2015-08-01,7949975
2015-09-01,8230746
2015-10-01,8555763
2015-11-01,8926947
2015-12-01,8856527
2016-01-01,8961227
2016-02-01,8439629
2016-03-01,8528793
2016-04-01,9043091
2016-05-01,8827480
2016-06-01,9091908
2016-07-01,7461413
2016-08-01,9190454
2016-09-01,9420729
2016-10-01,9565649
2016-11-01,10153891
2016-12-01,9908232
2017-01-01,9753665
2017-02-01,9485002
2017-03-01,10800139
2017-04-01,9632329
2017-05-01,10592186
2017-06-01,10717766
2017-07-01,8396692
2017-08-01,11151816
2017-09-01,11944604
2017-10-01,11970809
2017-11-01,12642175
2017-12-01,12171229
2018-01-01,12387617
2018-02-01,11592814
2018-03-01,12984726
2018-04-01,12660102
2018-05-01,12947294
2018-06-01,12364430
2018-07-01,9306633
2018-08-01,12698797
2018-09-01,13447906
2018-10-01,14016386
2018-11-01,14467957
2018-12-01,13341765
2019-01-01,14386642
2019-02-01,13535055
2019-03-01,15892285
2019-04-01,13718090
2019-05-01,15405011
2019-06-01,14182623
2019-07-01,11361894
2019-08-01,14801878
2019-09-01,15563188
2019-10-01,16781911
2019-11-01,17352585
2019-12-01,15829941
2020-01-01,16023673
2020-02-01,15453914
2020-03-01,7593330
2020-04-01,3536175
2020-05-01,7183742
2020-06-01,10711970
2020-07-01,10216691
2020-08-01,11412491
2020-09-01,11193010
2020-10-01,11465200
2020-11-01,11189607
2020-12-01,7959317
2021-01-01,5597630
2021-02-01,6130960
2021-03-01,8198565
2021-04-01,9282962
2021-05-01,11559180
2021-06-01,12531018
2021-07-01,10112232
2021-08-01,13152173
2021-09-01,14987035
2021-10-01,14741897
2021-11-01,15181165
2021-12-01,12170917
2022-01-01,11435330
2022-02-01,12765510
2022-03-01,15749495
2022-04-01,14222322
2022-05-01,15120880
2022-06-01,15280628
2022-07-01,11482888
2022-08-01,15164951
2022-09-01,16008556
2022-10-01,15461143
2022-11-01,16586168
2022-12-01,15534883
2023-01-01,15992455
2023-02-01,14607364
2023-03-01,17384844
2023-04-01,14553705
2023-05-01,15615425
2023-06-01,15216070
2023-07-01,11645568
2023-08-01,15393239
2023-09-01,15994776
2023-10-01,15668884
2023-11-01,16845755
2023-12-01,15103771
2024-01-01,16249214
2024-02-01,14495019
2024-03-01,14758133
2024-04-01,15240930
2024-05-01,14839425
2024-06-01,14073542
2024-07-01,10465980
2024-08-01,13517484
2024-09-01,13616389
2024-10-01,13162446
2024-11-01,13204733
2024-12-01,11401405
2025-01-01,11471493
2025-02-01,10166003
2025-03-01,11172811
2025-04-01,9729768
2025-05-01,10284638
2025-06-01,9196970
2025-07-01,6486471
2025-08-01,8194944
2025-09-01,8213652
2025-10-01,7659030
2025-11-01,7154663
2025-12-01,5949800
2026-01-01,5403895
2026-02-01,4500049
2026-03-01,4647628
